Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,182.0,0.0,183.1,181.2,7578.0,1380.1,07/12/2022,10:11:23
ACCIONA ENER,37.34,0.05,37.62,37.2,19025.0,711.87,07/12/2022,10:07:20
ACERINOX,9.386,-0.82,9.4,9.33,41812.0,391.58,07/12/2022,10:12:03
ACS,27.23,0.0,27.23,27.06,41053.0,1114.0,07/12/2022,10:09:11
AENA,126.9,0.51,128.05,125.75,23315.0,2953.93,07/12/2022,10:09:27
AMADEUS,50.56,0.16,50.68,50.16,57438.0,2899.69,07/12/2022,10:12:21
ARCELORMIT,25.32,-1.48,25.5,25.18,93205.0,2354.2,07/12/2022,10:11:29
BSANTANDER,2.808,-0.12,2.832,2.8,2222376.0,6257.9,07/12/2022,10:12:36
BASABADELL,0.8686,0.98,0.8736,0.86,3626700.0,3153.52,07/12/2022,10:12:22
BANKINTER,5.98,-0.17,6.042,5.96,303671.0,1824.51,07/12/2022,10:10:47
BBVA,5.528,-0.27,5.555,5.51,882635.0,4885.04,07/12/2022,10:11:55
CAIXABANK,3.373,-0.38,3.398,3.365,1038366.0,3515.9,07/12/2022,10:12:48
CELLNEX,33.41,0.12,33.45,33.09,72012.0,2400.5,07/12/2022,10:12:15
ENAGAS,17.13,0.03,17.14,17.04,195778.0,3346.34,07/12/2022,10:11:22
ENDESA,18.08,0.72,18.095,17.905,62580.0,1126.79,07/12/2022,10:11:22
FERROVIAL,25.52,-0.35,25.6,25.45,44052.0,1124.27,07/12/2022,10:12:07
FLUIDRA,13.67,0.15,13.79,13.57,152994.0,2096.81,07/12/2022,10:11:05
GRIFOLS CLA,10.52,0.77,10.535,10.3,209341.0,2185.16,07/12/2022,10:11:29
IAG,1.5745,1.03,1.5775,1.54,2712601.0,4256.62,07/12/2022,10:11:49
IBERDROLA,10.92,0.14,10.92,10.865,570725.0,6216.78,07/12/2022,10:12:30
INDITEX,24.97,0.81,24.98,24.74,192444.0,4779.64,07/12/2022,10:11:40
INDRA A,10.35,0.58,10.35,10.2,59654.0,615.14,07/12/2022,10:10:17
INMCOLONIAL,6.01,-0.83,6.025,5.98,310489.0,1862.96,07/12/2022,10:11:27
MAPFRE,1.812,0.39,1.818,1.803,211263.0,382.61,07/12/2022,10:10:21
MELIA HOTELS,5.105,0.79,5.115,5.05,119448.0,607.53,07/12/2022,10:09:24
MERLIN,9.04,0.0,9.055,8.995,22976.0,207.23,07/12/2022,10:09:19
NATURGY,26.75,0.34,26.77,26.62,13561.0,362.01,07/12/2022,10:11:22
PHARMA MAR,69.7,0.61,69.78,68.84,5941.0,412.83,07/12/2022,10:09:24
REC,17.24,0.64,17.24,17.1,38628.0,663.89,07/12/2022,10:11:45
REPSOL,14.27,-1.72,14.38,14.21,862093.0,12309.92,07/12/2022,10:11:57
ROVI,36.32,-0.06,36.5,36.2,12392.0,450.15,07/12/2022,10:10:55
SACYR,2.674,1.06,2.676,2.636,450084.0,1194.19,07/12/2022,10:09:11
SIEMENS GAME,18.02,0.03,18.03,18.02,97296.0,1753.87,07/12/2022,10:11:12
SOLARIA,16.955,-0.03,17.085,16.785,45758.0,771.93,07/12/2022,10:09:00
TELEFONICA,3.563,-0.39,3.578,3.553,1106079.0,3943.89,07/12/2022,10:10:52
